approx_shape,compactness,eccentricity,is_convex,num_lines,radius_equiv,radius_max,radius_min,solidity,line_diff,rad_max_div_equiv,rad_min_div_equiv,rad_min_div_max,img
8,33.3404985252,0.629644182012,0,31,25.1555173617,44.2637714837,16.354251632,0.620474406991,-23,1.75960489491,0.650125831118,0.369472620244,06_01
4,24.1502480963,0.667734384434,0,2,28.4006558303,49.6942287154,18.9323190713,0.877727745064,2,1.7497563793,0.66661555932,0.380976213149,06_02
10,32.4915218584,0.818061906955,0,10,26.5948221859,43.750822283,18.7794862524,0.801876578852,0,1.64508797905,0.706133175891,0.429237332522,06_03
5,16.2886331202,0.379751991314,1,27,33.4493535055,39.4075999971,29.280876837,0.956202393906,-22,1.17812740359,0.875379454859,0.743026138084,06_04
4,19.9939196421,0.842005745281,1,9,30.1247653188,46.8673459877,20.1814523056,0.954469367258,-5,1.55577464229,0.6699289469,0.430607961263,06_05
12,18.6474192616,0.410079429568,0,17,31.0304270951,35.6441381483,24.3563243275,0.900297619048,-5,1.14868345315,0.784917469966,0.683319210193,06_06
4,20.0415674916,0.83790169791,1,7,31.1941231975,51.5648683426,23.7423077671,0.944101297097,-3,1.65303150264,0.761114765647,0.460435729406,06_07
10,40.1951265442,0.128748545789,0,11,28.039711462,42.186550103,18.1176471746,0.57149467839,-1,1.50452868105,0.646142425507,0.429465010303,06_08
6,15.9392433055,0.302933073453,1,23,35.9579581967,41.0894831246,33.0481048397,0.955539872971,-17,1.14270901868,0.919076235053,0.80429594939,06_09
5,31.898993041,0.297194686502,0,17,24.1021895745,43.6150938596,14.5498002171,0.665815395841,-12,1.80959052392,0.603671304307,0.333595526905,06_10
4,27.416425334,0.857721507324,0,5,28.895100475,60.0567979934,12.5258436349,0.817388594578,-1,2.07844226205,0.433493686786,0.208566624486,06_11
4,18.1747571455,0.370973559915,1,6,34.5079307437,44.4302125549,29.5345556684,0.949492385787,-2,1.28753627347,0.855877331148,0.664740364046,06_12
5,22.8187362438,0.730142692396,0,22,33.6769672695,57.7034553819,17.4911634206,0.839340400471,-17,1.71343977978,0.519380598634,0.303121594797,06_13
10,26.5622610582,0.798515625965,0,5,39.2750519853,70.2095477861,19.4051360318,0.773503591381,5,1.7876372974,0.494083013285,0.276388848009,06_14
3,25.3418807153,0.899933598248,1,4,28.6739330405,59.7128717744,15.22376248,0.952433628319,-1,2.08247929191,0.530926903487,0.254949427613,06_15
3,21.418552355,0.277574612429,1,3,31.7804541953,48.4995707231,23.5484100642,0.938202247191,0,1.52608173644,0.740971476352,0.485538525664,06_16
5,17.771655816,0.606584596532,1,13,35.1703314984,46.5628992704,27.7847330531,0.955260570305,-8,1.32392551581,0.790004866868,0.596713982344,06_17
4,21.4567722397,0.805914559824,1,4,34.8475568124,61.1327148022,22.0442284171,0.935278254474,0,1.75428983821,0.632590357362,0.360596261567,06_18
4,22.7346238003,0.929593725887,1,2,32.4935977151,51.9645122508,16.6296175038,0.939926324738,2,1.59922310562,0.511781356117,0.320018735546,06_19
3,22.9288806681,0.63733568485,1,5,31.4228780818,50.4200542025,20.8782055581,0.940284934829,-2,1.60456512199,0.66442690271,0.414085345372,06_20
3,23.0151443661,0.834996209218,1,9,31.0765537774,56.6999254579,17.3842590642,0.957702020202,-6,1.82452423341,0.559401122425,0.306601092044,06_21
6,22.8392319154,0.356207092491,0,26,35.7226025607,53.9201919683,25.103104384,0.804696908872,-20,1.50941387534,0.702723278386,0.465560367417,06_22
8,15.7840514633,0.26063315516,1,35,38.5098138106,42.35691365,36.3668313912,0.953931203931,-27,1.09989920643,0.944352303805,0.85858076657,06_23
5,18.0511970734,0.637805872222,1,16,38.5428623589,56.336563583,29.9151388355,0.949928760432,-11,1.46166008789,0.776152496328,0.531007518615,06_24
